engine,N,run,seconds
pallas_half,1024,11,0.000216469
pallas_half,1024,12,0.000212060
pallas_half,1024,13,0.000201549
pallas_half,1024,14,0.000199311
jnp.rfft,4096,0,0.000573610
jnp.rfft,4096,1,0.000351860
jnp.rfft,4096,2,0.000337750
jnp.rfft,4096,3,0.000634820
jnp.rfft,4096,4,0.000335380
jnp.rfft,4096,5,0.000351400
jnp.rfft,4096,6,0.000301290
jnp.rfft,4096,7,0.000307690
jnp.rfft,4096,8,0.000296400
jnp.rfft,4096,9,0.000319790
jnp.rfft,4096,10,0.000303460
jnp.rfft,4096,11,0.000377340
jnp.rfft,4096,12,0.000354550
jnp.rfft,4096,13,0.000336260
jnp.rfft,4096,14,0.000348620
trickA,4096,0,0.000311950
trickA,4096,1,0.000268560
trickA,4096,2,0.000247250
trickA,4096,3,0.000281570
trickA,4096,4,0.000227070
trickA,4096,5,0.000222710
trickA,4096,6,0.000211470
trickA,4096,7,0.000211980
trickA,4096,8,0.000204840
trickA,4096,9,0.000205220
trickA,4096,10,0.000225580
trickA,4096,11,0.000209060
trickA,4096,12,0.000202390
trickA,4096,13,0.000207710
trickA,4096,14,0.000206890
trickB,4096,0,0.000272800
trickB,4096,1,0.000267210
trickB,4096,2,0.000260560
trickB,4096,3,0.000262010
trickB,4096,4,0.000244050
trickB,4096,5,0.000236520
trickB,4096,6,0.000246020
trickB,4096,7,0.000237580
trickB,4096,8,0.000235460
trickB,4096,9,0.000236180
trickB,4096,10,0.000238680
trickB,4096,11,0.000240260
trickB,4096,12,0.000233180
trickB,4096,13,0.000237510
trickB,4096,14,0.000249590
jnp.rfft,8192,0,0.000525190
jnp.rfft,8192,1,0.000497400
jnp.rfft,8192,2,0.000492850
jnp.rfft,8192,3,0.000459110
jnp.rfft,8192,4,0.000438240
jnp.rfft,8192,5,0.000427460
jnp.rfft,8192,6,0.000433830
jnp.rfft,8192,7,0.000428610
jnp.rfft,8192,8,0.000419000
jnp.rfft,8192,9,0.000408240
jnp.rfft,8192,10,0.000388240
jnp.rfft,8192,11,0.000419210
jnp.rfft,8192,12,0.000425010
jnp.rfft,8192,13,0.000406380
jnp.rfft,8192,14,0.000411220
trickA,8192,0,0.000319310
trickA,8192,1,0.000316040
trickA,8192,2,0.000294480
trickA,8192,3,0.000325530
trickA,8192,4,0.000299180
trickA,8192,5,0.000294850
trickA,8192,6,0.000308980
trickA,8192,7,0.000313360
trickA,8192,8,0.000304910
trickA,8192,9,0.000295940
trickA,8192,10,0.000325280
trickA,8192,11,0.000295650
trickA,8192,12,0.000292590
trickA,8192,13,0.000310470
trickA,8192,14,0.000389560
trickB,8192,0,0.000366150
trickB,8192,1,0.000357289
trickB,8192,2,0.000366311
trickB,8192,3,0.000346110
trickB,8192,4,0.000344450
trickB,8192,5,0.000371090
trickB,8192,6,0.000361630
trickB,8192,7,0.000355340
trickB,8192,8,0.000356170
trickB,8192,9,0.000352930
trickB,8192,10,0.000345180
trickB,8192,11,0.000352389
trickB,8192,12,0.000341640
trickB,8192,13,0.000347989
trickB,8192,14,0.000359771
jnp.rfft,16384,0,0.000717070
jnp.rfft,16384,1,0.000564540
jnp.rfft,16384,2,0.000564300
jnp.rfft,16384,3,0.000548440
jnp.rfft,16384,4,0.000549850
jnp.rfft,16384,5,0.000544420
jnp.rfft,16384,6,0.000547460
jnp.rfft,16384,7,0.000537270
jnp.rfft,16384,8,0.000547371
jnp.rfft,16384,9,0.000548420
jnp.rfft,16384,10,0.000528530
jnp.rfft,16384,11,0.000532930
jnp.rfft,16384,12,0.000522880
jnp.rfft,16384,13,0.000535500
jnp.rfft,16384,14,0.000564169
trickA,16384,0,0.000422011
trickA,16384,1,0.000440960
trickA,16384,2,0.000424371
trickA,16384,3,0.000438380
trickA,16384,4,0.000428791
trickA,16384,5,0.000416711
trickA,16384,6,0.000414489
trickA,16384,7,0.000411149
trickA,16384,8,0.000417640
trickA,16384,9,0.000419520
trickA,16384,10,0.000454640
trickA,16384,11,0.000425689
trickA,16384,12,0.000418411
trickA,16384,13,0.000423160
trickA,16384,14,0.000419980
trickB,16384,0,0.000594011
trickB,16384,1,0.000576929
trickB,16384,2,0.000560929
trickB,16384,3,0.000566160
trickB,16384,4,0.000556269
trickB,16384,5,0.000556780
trickB,16384,6,0.000549560
trickB,16384,7,0.000566680
trickB,16384,8,0.000558660
trickB,16384,9,0.000585179
trickB,16384,10,0.000555170
trickB,16384,11,0.000564080
trickB,16384,12,0.000556801
trickB,16384,13,0.000567829
trickB,16384,14,0.000557189
