op,shape,dur_us,flops,bytes_accessed
%fusion.379,"f32[512,128,1]{0,1,2:T(8,128)S(1)} fusio",0.111,0,0
%copy.5,"f32[512,128,1]{1,0,2:T(8,128)S(1)} copy(",0.278,0,0
%fusion.386,"f32[128,4,128]{2,0,1:T(8,128)S(1)} fusio",0.198,0,0
%copy.7,"f32[512,128,1]{1,0,2:T(8,128)S(1)} copy(",0.276,0,0
%fusion.2252,"(bf16[64,8,128]{2,1,0:T(8,128)(2,1)S(1)}",0.089,0,0
%convolution_add_fusion,"f32[128,4,128]{2,0,1:T(8,128)S(1)} fusio",0.199,0,0
%iota_and_fusion.2,"u32[4]{0:T(128)S(1)} fusion(), kind=kLoo",0.005,0,0
%iota_shift-right-logical_fusion.2,"u32[4]{0:T(128)S(1)} fusion(), kind=kLoo",0.005,0,0
%fusion.1783,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.492,0,0
%multiply_add_fusion.88,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.074,0,0
%multiply_add_fusion.86,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.077,0,0
%fusion.1807,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.3,0,0
%and_or_fusion.21,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, pre",0.01,0,0
%fusion.2236,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, f32",0.168,0,0
%and_or_fusion.25,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, pre",0.01,0,0
%fusion.2233,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, f32",0.169,0,0
%fusion.1873,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.275,0,0
%fusion.1881,"f32[4,128]{1,0:T(4,128)S(1)} fusion(f32[",0.119,0,0
%fusion.375,"(f32[1,4,128,128]{3,2,1,0:T(8,128)S(1)},",1.055,0,0
%subtract_select_fusion.51,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.439,0,0
%fusion.1456,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.255,0,0
%select_select_fusion.34,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.198,0,0
%fusion.1482,"f32[4,4]{1,0:T(4,128)S(1)} fusion(pred[4",0.02,0,0
%select_select_fusion.39,"f32[4,4]{1,0:T(4,128)S(1)} fusion(pred[4",0.026,0,0
%fusion.370,"f32[4,16384]{1,0:T(4,128)S(1)} fusion(f3",0.876,0,0
%fusion.364,"f32[1,128,4,128]{3,2,1,0:T(4,128)S(1)} f",1.056,0,0
%copy.12,"f32[1,128,4,128]{3,1,2,0:T(8,128)S(1)} c",0.045,0,0
%fusion.367,"f32[1,128,4,128]{3,2,1,0:T(4,128)S(1)} f",1.059,0,0
%copy.13,"f32[1,128,4,128]{3,1,2,0:T(8,128)S(1)} c",0.044,0,0
%custom-call.2,c64[65536]{0:T(1024)} custom-call(f32[65,1.155,0,0
%custom-call,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.702,0,0
%reshape.6,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.086,0,0
%iota_and_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%iota_shift-right-logical_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.173,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.902,0,0
%fusion.874,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%and_or_fusion.13,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.051,0,0
%add_select_fusion.128,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%add_select_fusion.140,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%fusion.919,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%fusion.911,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.499,0,0
%fusion.1144,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.195,0,0
%custom-call.1,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.701,0,0
%reshape.14,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.086,0,0
%convolution_add_fusion.1,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.209,0,0
%convolution_subtract_fusion.1,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.21,0,0
%iota_and_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%is-finite_and_fusion.22,"(pred[128,512,1]{1,0,2:T(8,128)(4,1)S(1)",6.226,0,0
%fusion.2249,"(pred[128,512,1]{1,0,2:T(8,128)(4,1)S(1)",8.09,0,0
%fusion.335,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",9.691,0,0
%add_select_fusion.84,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",4.383,0,0
%fusion.377,"(f32[512,128,1]{0,1,2:T(8,128)S(1)}, f32",37.231,0,0
%fusion.379,"f32[512,128,1]{0,1,2:T(8,128)S(1)} fusio",0.113,0,0
%copy.5,"f32[512,128,1]{1,0,2:T(8,128)S(1)} copy(",0.279,0,0
%fusion.386,"f32[128,4,128]{2,0,1:T(8,128)S(1)} fusio",0.198,0,0
%copy.7,"f32[512,128,1]{1,0,2:T(8,128)S(1)} copy(",0.276,0,0
%fusion.2252,"(bf16[64,8,128]{2,1,0:T(8,128)(2,1)S(1)}",0.09,0,0
%convolution_add_fusion,"f32[128,4,128]{2,0,1:T(8,128)S(1)} fusio",0.198,0,0
%iota_and_fusion.2,"u32[4]{0:T(128)S(1)} fusion(), kind=kLoo",0.004,0,0
%iota_shift-right-logical_fusion.2,"u32[4]{0:T(128)S(1)} fusion(), kind=kLoo",0.005,0,0
%fusion.1783,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.491,0,0
%multiply_add_fusion.88,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.074,0,0
%multiply_add_fusion.86,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.077,0,0
%fusion.1807,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.301,0,0
%and_or_fusion.21,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, pre",0.011,0,0
%fusion.2236,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, f32",0.169,0,0
%and_or_fusion.25,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, pre",0.011,0,0
%fusion.2233,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, f32",0.168,0,0
%fusion.1873,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.274,0,0
%fusion.1881,"f32[4,128]{1,0:T(4,128)S(1)} fusion(f32[",0.12,0,0
%fusion.375,"(f32[1,4,128,128]{3,2,1,0:T(8,128)S(1)},",1.055,0,0
%subtract_select_fusion.51,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.439,0,0
%fusion.1456,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.256,0,0
%select_select_fusion.34,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.199,0,0
%fusion.1482,"f32[4,4]{1,0:T(4,128)S(1)} fusion(pred[4",0.02,0,0
%select_select_fusion.39,"f32[4,4]{1,0:T(4,128)S(1)} fusion(pred[4",0.026,0,0
%fusion.370,"f32[4,16384]{1,0:T(4,128)S(1)} fusion(f3",0.876,0,0
%fusion.364,"f32[1,128,4,128]{3,2,1,0:T(4,128)S(1)} f",1.056,0,0
%copy.12,"f32[1,128,4,128]{3,1,2,0:T(8,128)S(1)} c",0.045,0,0
%fusion.367,"f32[1,128,4,128]{3,2,1,0:T(4,128)S(1)} f",1.06,0,0
%copy.13,"f32[1,128,4,128]{3,1,2,0:T(8,128)S(1)} c",0.044,0,0
%custom-call.2,c64[65536]{0:T(1024)} custom-call(f32[65,1.153,0,0
%custom-call,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.7,0,0
%reshape.6,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.087,0,0
%iota_and_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.173,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.902,0,0
%fusion.874,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%and_or_fusion.13,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.05,0,0
%add_select_fusion.128,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%add_select_fusion.140,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.488,0,0
%fusion.919,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%fusion.911,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.498,0,0
%fusion.1144,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.195,0,0
%custom-call.1,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.698,0,0
%reshape.14,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.086,0,0
%convolution_add_fusion.1,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.209,0,0
%convolution_subtract_fusion.1,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.21,0,0
%iota_and_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.004,0,0
%is-finite_and_fusion.22,"(pred[128,512,1]{1,0,2:T(8,128)(4,1)S(1)",6.227,0,0
%fusion.2249,"(pred[128,512,1]{1,0,2:T(8,128)(4,1)S(1)",8.09,0,0
%fusion.335,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",9.691,0,0
%add_select_fusion.84,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",4.384,0,0
%fusion.377,"(f32[512,128,1]{0,1,2:T(8,128)S(1)}, f32",37.23,0,0
%fusion.379,"f32[512,128,1]{0,1,2:T(8,128)S(1)} fusio",0.113,0,0
%copy.5,"f32[512,128,1]{1,0,2:T(8,128)S(1)} copy(",0.279,0,0
%fusion.386,"f32[128,4,128]{2,0,1:T(8,128)S(1)} fusio",0.198,0,0
%copy.7,"f32[512,128,1]{1,0,2:T(8,128)S(1)} copy(",0.276,0,0
%fusion.2252,"(bf16[64,8,128]{2,1,0:T(8,128)(2,1)S(1)}",0.09,0,0
%convolution_add_fusion,"f32[128,4,128]{2,0,1:T(8,128)S(1)} fusio",0.198,0,0
%iota_and_fusion.2,"u32[4]{0:T(128)S(1)} fusion(), kind=kLoo",0.004,0,0
%iota_shift-right-logical_fusion.2,"u32[4]{0:T(128)S(1)} fusion(), kind=kLoo",0.005,0,0
%fusion.1783,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.491,0,0
%multiply_add_fusion.88,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.074,0,0
%multiply_add_fusion.86,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.077,0,0
%fusion.1807,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.3,0,0
%and_or_fusion.21,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, pre",0.011,0,0
%fusion.2236,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, f32",0.169,0,0
%and_or_fusion.25,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, pre",0.011,0,0
%fusion.2233,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, f32",0.168,0,0
%fusion.1873,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.274,0,0
%fusion.1881,"f32[4,128]{1,0:T(4,128)S(1)} fusion(f32[",0.118,0,0
%fusion.375,"(f32[1,4,128,128]{3,2,1,0:T(8,128)S(1)},",1.056,0,0
%subtract_select_fusion.51,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.439,0,0
%fusion.1456,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.255,0,0
%select_select_fusion.34,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.199,0,0
%fusion.1482,"f32[4,4]{1,0:T(4,128)S(1)} fusion(pred[4",0.02,0,0
%select_select_fusion.39,"f32[4,4]{1,0:T(4,128)S(1)} fusion(pred[4",0.025,0,0
%fusion.370,"f32[4,16384]{1,0:T(4,128)S(1)} fusion(f3",0.876,0,0
%fusion.364,"f32[1,128,4,128]{3,2,1,0:T(4,128)S(1)} f",1.055,0,0
%copy.12,"f32[1,128,4,128]{3,1,2,0:T(8,128)S(1)} c",0.045,0,0
%fusion.367,"f32[1,128,4,128]{3,2,1,0:T(4,128)S(1)} f",1.059,0,0
%copy.13,"f32[1,128,4,128]{3,1,2,0:T(8,128)S(1)} c",0.044,0,0
%custom-call.2,c64[65536]{0:T(1024)} custom-call(f32[65,1.153,0,0
%custom-call,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.693,0,0
%reshape.6,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.086,0,0
%iota_and_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%iota_shift-right-logical_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.173,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.904,0,0
%fusion.874,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%and_or_fusion.13,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.05,0,0
%add_select_fusion.128,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%add_select_fusion.140,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.487,0,0
%fusion.919,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.04,0,0
%fusion.911,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.499,0,0
%fusion.1144,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.195,0,0
%custom-call.1,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.699,0,0
%reshape.14,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.087,0,0
%convolution_add_fusion.1,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.21,0,0
%convolution_subtract_fusion.1,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.209,0,0
%iota_and_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.004,0,0
%is-finite_and_fusion.22,"(pred[128,512,1]{1,0,2:T(8,128)(4,1)S(1)",6.228,0,0
%fusion.2249,"(pred[128,512,1]{1,0,2:T(8,128)(4,1)S(1)",8.09,0,0
%fusion.335,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",9.692,0,0
%add_select_fusion.84,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",4.384,0,0
%fusion.377,"(f32[512,128,1]{0,1,2:T(8,128)S(1)}, f32",37.231,0,0
%fusion.379,"f32[512,128,1]{0,1,2:T(8,128)S(1)} fusio",0.114,0,0
%copy.5,"f32[512,128,1]{1,0,2:T(8,128)S(1)} copy(",0.278,0,0
%fusion.386,"f32[128,4,128]{2,0,1:T(8,128)S(1)} fusio",0.198,0,0
%copy.7,"f32[512,128,1]{1,0,2:T(8,128)S(1)} copy(",0.276,0,0
%fusion.2252,"(bf16[64,8,128]{2,1,0:T(8,128)(2,1)S(1)}",0.09,0,0
%convolution_add_fusion,"f32[128,4,128]{2,0,1:T(8,128)S(1)} fusio",0.199,0,0
%iota_and_fusion.2,"u32[4]{0:T(128)S(1)} fusion(), kind=kLoo",0.005,0,0
%iota_shift-right-logical_fusion.2,"u32[4]{0:T(128)S(1)} fusion(), kind=kLoo",0.005,0,0
%fusion.1783,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.491,0,0
%multiply_add_fusion.88,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.075,0,0
%multiply_add_fusion.86,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.077,0,0
%fusion.1807,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.3,0,0
%and_or_fusion.21,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, pre",0.011,0,0
%fusion.2236,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, f32",0.168,0,0
%and_or_fusion.25,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, pre",0.01,0,0
%fusion.2233,"(pred[4,128]{1,0:T(4,128)(4,1)S(1)}, f32",0.168,0,0
%fusion.1873,"(f32[4,128]{1,0:T(4,128)S(1)}, f32[4,128",0.274,0,0
%fusion.1881,"f32[4,128]{1,0:T(4,128)S(1)} fusion(f32[",0.118,0,0
%fusion.375,"(f32[1,4,128,128]{3,2,1,0:T(8,128)S(1)},",1.058,0,0
%subtract_select_fusion.51,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.44,0,0
%fusion.1456,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.256,0,0
%select_select_fusion.34,"(f32[4,4]{1,0:T(4,128)S(1)}, f32[4,4]{1,",0.199,0,0
%fusion.1482,"f32[4,4]{1,0:T(4,128)S(1)} fusion(pred[4",0.02,0,0
%select_select_fusion.39,"f32[4,4]{1,0:T(4,128)S(1)} fusion(pred[4",0.025,0,0
%fusion.370,"f32[4,16384]{1,0:T(4,128)S(1)} fusion(f3",0.876,0,0
%fusion.364,"f32[1,128,4,128]{3,2,1,0:T(4,128)S(1)} f",1.058,0,0
%copy.12,"f32[1,128,4,128]{3,1,2,0:T(8,128)S(1)} c",0.045,0,0
%fusion.367,"f32[1,128,4,128]{3,2,1,0:T(4,128)S(1)} f",1.06,0,0
%copy.13,"f32[1,128,4,128]{3,1,2,0:T(8,128)S(1)} c",0.044,0,0
%custom-call.2,c64[65536]{0:T(1024)} custom-call(f32[65,1.152,0,0
%iota.1,"f32[65536]{0:T(1024)} iota(), iota_dimen",0.655,0,0
%broadcast_add_fusion,f32[65536]{0:T(1024)} fusion(f32[65536]{,1.319,0,0
%broadcast,f32[65536]{0:T(1024)S(1)} broadcast(f32[,0.046,0,0
%custom-call,c64[65536]{0:T(1024)} custom-call(f32[65,2.177,0,0
%iota_and_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.76,"(f32[512,512]{1,0:T(8,128)S(1)}, pred[51",119.836,0,0
%fusion.316,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",12.915,0,0
%and_or_fusion.4,"(pred[512,512]{1,0:T(8,128)(4,1)S(1)}, p",0.691,0,0
%add_select_fusion.31,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",7.436,0,0
%add_select_fusion.43,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",7.438,0,0
%fusion.361,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",110.701,0,0
%fusion.353,"f32[512,512]{1,0:T(8,128)S(1)} fusion(f3",21.774,0,0
%custom-call,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.701,0,0
%reshape.4,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.087,0,0
%iota_and_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.270,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",8.124,0,0
%fusion.1454,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%and_or_fusion.22,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.049,0,0
%add_select_fusion.225,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%add_select_fusion.237,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%fusion.1499,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%fusion.1491,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.496,0,0
%fusion.1505,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.194,0,0
%custom-call.1,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.686,0,0
%reshape.12,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.086,0,0
%convolution_subtract_fusion,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.207,0,0
%is-finite_and_fusion.53,"(pred[128,512,1]{1,0,2:T(32,128)(4,1)S(1",6.226,0,0
%fusion.1753,"(pred[128,512,1]{1,0,2:T(32,128)(4,1)S(1",8.318,0,0
%fusion.931,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",9.691,0,0
%add_select_fusion.181,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",4.565,0,0
%fusion.967,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",20.424,0,0
%fusion.968,"f32[128,512,1]{1,0,2:T(8,128)S(1)} fusio",0.12,0,0
%fusion.367,"f32[512,128]{1,0:T(8,128)S(1)} fusion(f3",0.474,0,0
%fusion.960,f32[65536]{0:T(1024)S(1)} fusion(f32[512,0.476,0,0
%fusion.963,f32[65536]{0:T(1024)S(1)} fusion(f32[512,0.477,0,0
%custom-call.2,c64[65536]{0:T(1024)} custom-call(f32[65,1.155,0,0
%iota_and_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.004,0,0
%iota_shift-right-logical_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.76,"(f32[512,512]{1,0:T(8,128)S(1)}, pred[51",119.836,0,0
%fusion.316,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",12.916,0,0
%and_or_fusion.4,"(pred[512,512]{1,0:T(8,128)(4,1)S(1)}, p",0.691,0,0
%add_select_fusion.31,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",7.438,0,0
%add_select_fusion.43,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",7.439,0,0
%fusion.361,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",110.701,0,0
%fusion.353,"f32[512,512]{1,0:T(8,128)S(1)} fusion(f3",21.774,0,0
%custom-call,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.706,0,0
%reshape.4,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.087,0,0
%iota_and_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.270,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",8.084,0,0
%fusion.1454,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%and_or_fusion.22,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.049,0,0
%add_select_fusion.225,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.487,0,0
%add_select_fusion.237,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%fusion.1499,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%fusion.1491,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.499,0,0
%fusion.1505,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.194,0,0
%custom-call.1,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.698,0,0
%reshape.12,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.087,0,0
%convolution_subtract_fusion,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.207,0,0
%is-finite_and_fusion.53,"(pred[128,512,1]{1,0,2:T(32,128)(4,1)S(1",6.226,0,0
%fusion.1753,"(pred[128,512,1]{1,0,2:T(32,128)(4,1)S(1",8.126,0,0
%fusion.931,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",9.69,0,0
%add_select_fusion.181,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",4.796,0,0
%fusion.967,"(f32[128,512,1]{1,0,2:T(8,128)S(1)}, f32",20.383,0,0
%fusion.968,"f32[128,512,1]{1,0,2:T(8,128)S(1)} fusio",0.12,0,0
%fusion.367,"f32[512,128]{1,0:T(8,128)S(1)} fusion(f3",0.473,0,0
%fusion.960,f32[65536]{0:T(1024)S(1)} fusion(f32[512,0.476,0,0
%fusion.963,f32[65536]{0:T(1024)S(1)} fusion(f32[512,0.476,0,0
%custom-call.2,c64[65536]{0:T(1024)} custom-call(f32[65,1.149,0,0
%iota_and_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.76,"(f32[512,512]{1,0:T(8,128)S(1)}, pred[51",119.836,0,0
%fusion.316,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",12.916,0,0
%and_or_fusion.4,"(pred[512,512]{1,0:T(8,128)(4,1)S(1)}, p",0.691,0,0
%add_select_fusion.31,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",7.438,0,0
%add_select_fusion.43,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",7.436,0,0
%fusion.361,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",110.702,0,0
%fusion.353,"f32[512,512]{1,0:T(8,128)S(1)} fusion(f3",21.774,0,0
%custom-call,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.96,0,0
%reshape.4,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.086,0,0
%iota_and_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion.1,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%add_select_fusion.270,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",8.377,0,0
%fusion.1454,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%and_or_fusion.22,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.05,0,0
%add_select_fusion.225,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%add_select_fusion.237,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.487,0,0
%fusion.1499,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%fusion.1491,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.498,0,0
%fusion.1505,"f32[128,512]{1,0:T(8,128)S(1)} fusion(f3",0.194,0,0
%custom-call.1,f32[65536]{0:T(1024)S(1)} custom-call(c6,0.69,0,0
%reshape.12,"f32[128,512]{1,0:T(8,128)S(1)} reshape(f",0.086,0,0
