op,shape,dur_us,flops,bytes_accessed
%fusion.1165,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.18,0,0
%fusion.1765,"(pred[8,8]{1,0:T(8,128)(4,1)S(1)}, f32[8",0.45,0,0
%fusion.1309,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.506,0,0
%fusion.1301,"f32[8,8]{1,0:T(8,128)S(1)} fusion(f32[8,",0.344,0,0
%fusion.1344,"f32[8,128]{1,0:T(8,128)S(1)} fusion(f32[",0.093,0,0
%fusion.1341,"f32[1024]{0:T(1024)S(1)} fusion(f32[8,12",0.094,0,0
%fusion.1338,"f32[1024]{0:T(1024)S(1)} fusion(f32[8,12",0.09,0,0
%custom-call.2,c64[1024]{0:T(1024)} custom-call(f32[102,0.471,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.76,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.902,0,0
%fusion.316,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.858,0,0
%add_select_fusion.43,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.484,0,0
%add_select_fusion.31,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%and_or_fusion.4,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.051,0,0
%fusion.361,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%fusion.353,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.498,0,0
%custom-call,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.355,0,0
%reshape.4,"f32[128,8]{1,0:T(8,128)S(1)} reshape(f32",0.11,0,0
%fusion.371,"f32[128,8]{0,1:T(8,128)S(1)} fusion(f32[",0.198,0,0
%custom-call.1,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.321,0,0
%reshape.12,"f32[128,8]{1,0:T(8,128)S(1)} reshape(f32",0.11,0,0
%fusion.1327,"f32[128,8,1]{0,1,2:T(8,128)S(1)} fusion(",0.201,0,0
%iota_and_fusion.1,"u32[8]{0:T(128)S(1)} fusion(), kind=kLoo",0.004,0,0
%iota_shift-right-logical_fusion.1,"u32[8]{0:T(128)S(1)} fusion(), kind=kLoo",0.005,0,0
%and_or_fusion.12,"(pred[128,8,1]{0,1,2:T(8,128)(4,1)S(1)},",0.405,0,0
%fusion.1768,"(pred[128,8,1]{0,1,2:T(8,128)(4,1)S(1)},",0.22,0,0
%fusion.1283,"(f32[128,8,1]{0,1,2:T(8,128)S(1)}, f32[1",0.552,0,0
%add_select_fusion.264,"(f32[128,8,1]{0,1,2:T(8,128)S(1)}, f32[1",0.232,0,0
%multiply_add_fusion.81,"(f32[128,8,1]{0,1,2:T(8,128)S(1)}, f32[1",0.4,0,0
%multiply_subtract_fusion.2,"f32[128,8,1]{0,1,2:T(8,128)S(1)} fusion(",0.01,0,0
%fusion.1571,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.416,0,0
%fusion.1165,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.18,0,0
%fusion.1765,"(pred[8,8]{1,0:T(8,128)(4,1)S(1)}, f32[8",0.45,0,0
%fusion.1309,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.506,0,0
%fusion.1301,"f32[8,8]{1,0:T(8,128)S(1)} fusion(f32[8,",0.344,0,0
%fusion.1344,"f32[8,128]{1,0:T(8,128)S(1)} fusion(f32[",0.093,0,0
%fusion.1341,"f32[1024]{0:T(1024)S(1)} fusion(f32[8,12",0.094,0,0
%fusion.1338,"f32[1024]{0:T(1024)S(1)} fusion(f32[8,12",0.09,0,0
%custom-call.2,c64[1024]{0:T(1024)} custom-call(f32[102,0.471,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.76,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.902,0,0
%fusion.316,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.858,0,0
%add_select_fusion.43,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%add_select_fusion.31,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%and_or_fusion.4,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.051,0,0
%fusion.361,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%fusion.353,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.498,0,0
%custom-call,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.344,0,0
%reshape.4,"f32[128,8]{1,0:T(8,128)S(1)} reshape(f32",0.111,0,0
%fusion.371,"f32[128,8]{0,1:T(8,128)S(1)} fusion(f32[",0.198,0,0
%custom-call.1,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.32,0,0
%reshape.12,"f32[128,8]{1,0:T(8,128)S(1)} reshape(f32",0.11,0,0
%fusion.1327,"f32[128,8,1]{0,1,2:T(8,128)S(1)} fusion(",0.2,0,0
%iota_and_fusion.1,"u32[8]{0:T(128)S(1)} fusion(), kind=kLoo",0.004,0,0
%iota_shift-right-logical_fusion.1,"u32[8]{0:T(128)S(1)} fusion(), kind=kLoo",0.005,0,0
%and_or_fusion.12,"(pred[128,8,1]{0,1,2:T(8,128)(4,1)S(1)},",0.405,0,0
%fusion.1768,"(pred[128,8,1]{0,1,2:T(8,128)(4,1)S(1)},",0.219,0,0
%fusion.1283,"(f32[128,8,1]{0,1,2:T(8,128)S(1)}, f32[1",0.551,0,0
%add_select_fusion.264,"(f32[128,8,1]{0,1,2:T(8,128)S(1)}, f32[1",0.231,0,0
%multiply_add_fusion.81,"(f32[128,8,1]{0,1,2:T(8,128)S(1)}, f32[1",0.4,0,0
%multiply_subtract_fusion.2,"f32[128,8,1]{0,1,2:T(8,128)S(1)} fusion(",0.01,0,0
%fusion.1571,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.416,0,0
%fusion.1165,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.181,0,0
%fusion.1765,"(pred[8,8]{1,0:T(8,128)(4,1)S(1)}, f32[8",0.448,0,0
%fusion.1309,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.507,0,0
%fusion.1301,"f32[8,8]{1,0:T(8,128)S(1)} fusion(f32[8,",0.345,0,0
%fusion.1344,"f32[8,128]{1,0:T(8,128)S(1)} fusion(f32[",0.093,0,0
%fusion.1341,"f32[1024]{0:T(1024)S(1)} fusion(f32[8,12",0.093,0,0
%fusion.1338,"f32[1024]{0:T(1024)S(1)} fusion(f32[8,12",0.091,0,0
%custom-call.2,c64[1024]{0:T(1024)} custom-call(f32[102,0.474,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.76,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.902,0,0
%fusion.316,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%add_select_fusion.43,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%add_select_fusion.31,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%and_or_fusion.4,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.05,0,0
%fusion.361,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.04,0,0
%fusion.353,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.499,0,0
%custom-call,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.355,0,0
%reshape.4,"f32[128,8]{1,0:T(8,128)S(1)} reshape(f32",0.11,0,0
%fusion.371,"f32[128,8]{0,1:T(8,128)S(1)} fusion(f32[",0.196,0,0
%custom-call.1,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.321,0,0
%reshape.12,"f32[128,8]{1,0:T(8,128)S(1)} reshape(f32",0.11,0,0
%fusion.1327,"f32[128,8,1]{0,1,2:T(8,128)S(1)} fusion(",0.201,0,0
%iota_and_fusion.1,"u32[8]{0:T(128)S(1)} fusion(), kind=kLoo",0.004,0,0
%iota_shift-right-logical_fusion.1,"u32[8]{0:T(128)S(1)} fusion(), kind=kLoo",0.005,0,0
%and_or_fusion.12,"(pred[128,8,1]{0,1,2:T(8,128)(4,1)S(1)},",0.405,0,0
%fusion.1768,"(pred[128,8,1]{0,1,2:T(8,128)(4,1)S(1)},",0.219,0,0
%fusion.1283,"(f32[128,8,1]{0,1,2:T(8,128)S(1)}, f32[1",0.552,0,0
%add_select_fusion.264,"(f32[128,8,1]{0,1,2:T(8,128)S(1)}, f32[1",0.231,0,0
%multiply_add_fusion.81,"(f32[128,8,1]{0,1,2:T(8,128)S(1)}, f32[1",0.399,0,0
%multiply_subtract_fusion.2,"f32[128,8,1]{0,1,2:T(8,128)S(1)} fusion(",0.01,0,0
%fusion.1571,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.415,0,0
%fusion.1165,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.18,0,0
%fusion.1765,"(pred[8,8]{1,0:T(8,128)(4,1)S(1)}, f32[8",0.449,0,0
%fusion.1309,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.506,0,0
%fusion.1301,"f32[8,8]{1,0:T(8,128)S(1)} fusion(f32[8,",0.345,0,0
%fusion.1344,"f32[8,128]{1,0:T(8,128)S(1)} fusion(f32[",0.092,0,0
%fusion.1341,"f32[1024]{0:T(1024)S(1)} fusion(f32[8,12",0.093,0,0
%fusion.1338,"f32[1024]{0:T(1024)S(1)} fusion(f32[8,12",0.091,0,0
%custom-call.2,c64[1024]{0:T(1024)} custom-call(f32[102,0.474,0,0
%iota.1,"f32[1024]{0:T(1024)} iota(), iota_dimens",0.243,0,0
%broadcast_add_fusion,f32[1024]{0:T(1024)} fusion(f32[1024]{0:,0.669,0,0
%broadcast,f32[1024]{0:T(1024)S(1)} broadcast(f32[],0.004,0,0
%custom-call,c64[1024]{0:T(1024)} custom-call(f32[102,0.798,0,0
%iota_and_fusion,"u32[1024]{0:T(1024)S(1)} fusion(), kind=",0.005,0,0
%copy-start,"(u32[1024]{0:T(1024)}, u32[1024]{0:T(102",0.005,0,0
%iota_shift-right-logical_fusion,"u32[1024]{0:T(1024)S(1)} fusion(), kind=",0.004,0,0
%copy-start.1,"(u32[1024]{0:T(1024)}, u32[1024]{0:T(102",0.003,0,0
%add_select_fusion.76,"(f32[1024,1024]{1,0:T(8,128)S(1)}, pred[",550.628,0,0
%copy-done,u32[1024]{0:T(1024)} copy-done((u32[1024,0.004,0,0
%copy-done.1,u32[1024]{0:T(1024)} copy-done((u32[1024,0.003,0,0
%fusion.316,"(f32[1024,1024]{1,0:T(8,128)S(1)}, f32[1",53.549,0,0
%add_select_fusion.43,"(f32[1024,1024]{1,0:T(8,128)S(1)}, f32[1",29.496,0,0
%add_select_fusion.31,"(f32[1024,1024]{1,0:T(8,128)}, f32[1024,",31.6,0,0
%and_or_fusion.4,"(pred[1024,1024]{1,0:T(8,128)(4,1)}, pre",4.84,0,0
%fusion.361,"(f32[1024,1024]{1,0:T(8,128)S(1)}, f32[1",690.22,0,0
%custom-call,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.323,0,0
%custom-call.1,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.316,0,0
%fusion.605,"(f32[1024]{0:T(1024)S(1)}, f32[1024]{0:T",0.004,0,0
%multiply_reduce_fusion,"(f32[1024]{0:T(1024)S(1)}, f32[1024]{0:T",85.812,0,0
%fusion.606,"(f32[1024]{0:T(1024)S(1)}, f32[1024]{0:T",0.007,0,0
%custom-call.2,c64[1024]{0:T(1024)} custom-call(f32[102,0.477,0,0
%iota_and_fusion,"u32[1024]{0:T(1024)S(1)} fusion(), kind=",0.005,0,0
%copy-start,"(u32[1024]{0:T(1024)}, u32[1024]{0:T(102",0.006,0,0
%iota_shift-right-logical_fusion,"u32[1024]{0:T(1024)S(1)} fusion(), kind=",0.006,0,0
%copy-start.1,"(u32[1024]{0:T(1024)}, u32[1024]{0:T(102",0.003,0,0
%add_select_fusion.76,"(f32[1024,1024]{1,0:T(8,128)S(1)}, pred[",550.63,0,0
%copy-done,u32[1024]{0:T(1024)} copy-done((u32[1024,0.004,0,0
%copy-done.1,u32[1024]{0:T(1024)} copy-done((u32[1024,0.004,0,0
%fusion.316,"(f32[1024,1024]{1,0:T(8,128)S(1)}, f32[1",53.55,0,0
%add_select_fusion.43,"(f32[1024,1024]{1,0:T(8,128)S(1)}, f32[1",29.497,0,0
%add_select_fusion.31,"(f32[1024,1024]{1,0:T(8,128)}, f32[1024,",31.644,0,0
%and_or_fusion.4,"(pred[1024,1024]{1,0:T(8,128)(4,1)}, pre",4.389,0,0
%fusion.361,"(f32[1024,1024]{1,0:T(8,128)S(1)}, f32[1",690.22,0,0
%custom-call,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.328,0,0
%custom-call.1,f32[1024]{0:T(1024)S(1)} custom-call(c64,0.456,0,0
%fusion.605,"(f32[1024]{0:T(1024)S(1)}, f32[1024]{0:T",0.004,0,0
%multiply_reduce_fusion,"(f32[1024]{0:T(1024)S(1)}, f32[1024]{0:T",85.656,0,0
%fusion.606,"(f32[1024]{0:T(1024)S(1)}, f32[1024]{0:T",0.008,0,0
