epoch,train_mse,test_relL2,best
0,0.09250025947093964,0.1739403045547926,0.1739403045547926
10,0.00533332613222301,0.09732789303849135,0.09732789303849135
20,0.0032726765248924494,0.08916473231250799,0.08916473231250799
30,0.002204160949960351,0.09031470873215652,0.08916473231250799
40,0.0017560004552826286,0.08076740720661256,0.08076740720661256
50,0.0016886666279286146,0.08216975387250619,0.08076740720661256
60,0.0012624427099712193,0.0831730433350721,0.08076740720661256
70,0.0012943080868571997,0.08007270493081428,0.08007270493081428
80,0.0009128535427153111,0.07843422436875377,0.07843422436875377
90,0.0009430445420090109,0.07773083612834006,0.07773083612834006
100,0.0005705367728602142,0.07680244379738502,0.07680244379738502
110,0.00034631346841342746,0.07673296197574592,0.07673296197574592
120,0.00034503923368174583,0.07689739275624871,0.07673296197574592
130,0.00034264200075995177,0.07773072853940022,0.07673296197574592
140,0.00034394451207481327,0.07683574576754347,0.07673296197574592
150,0.00028865920116659253,0.07670084127319403,0.07670084127319403
160,0.00033648679074831306,0.07696490186835396,0.07670084127319403
170,0.0002771591590484604,0.07794904664055019,0.07670084127319403
180,0.00024374299691990017,0.07680859749172471,0.07670084127319403
190,0.00026792127073276787,0.07687909035463406,0.07670084127319403
200,0.0001953209638595581,0.0765929823784605,0.0765929823784605
210,0.0001482564041740261,0.07652575845073688,0.07652575845073688
220,0.00013963829647982494,0.0765715318949898,0.07652575845073688
230,0.00013812974964966997,0.07651814076077748,0.07651814076077748
240,0.0001538635358097963,0.07643007872224758,0.07643007872224758
250,0.00013018106198869645,0.07667240119318669,0.07643007872224758
260,0.0001245051831123419,0.07658170052362545,0.07643007872224758
270,0.00013201947438064963,0.0766479890662283,0.07643007872224758
280,0.00012580097683239727,0.07664745873627143,0.07643007872224758
290,0.00012969405198236928,0.07692701484077316,0.07643007872224758
299,0.00011885256498353556,0.07688576676418829,0.07643007872224758
